run_order,T,P,F,seed,temperature_c,pressure_torr,flow_sccm,deposition_s,state,fault,cycle_s,truth_thickness_nm,measured_thickness_nm,temperature_mean,temperature_std,pressure_mean,pressure_std,flow_mean,flow_std,heater_mean,deposition_time,thermal_dose,flow_dose
29,0.0,0.0,0.0,41028,450.0,3.0,100.0,120.0,COMPLETE,NONE,423.75,98.19630311059463,98.36824734516712,450.14156120347855,0.2744264686935448,3.0000052662720647,0.00289532322470732,99.99476271748111,0.15345315465354986,0.44681726000000005,120.0,120.07149932990389,11999.371526097733
30,-1.0,1.0,-1.0,41029,435.0,3.4,85.0,120.0,COMPLETE,NONE,418.75,91.2113882210048,91.1256200120268,435.1446015815998,0.27557974203581936,3.400021661630176,0.0031052832204893246,85.00630226192024,0.14054067263863065,0.43100611991666665,120.0,112.58241609369861,10200.75627143043
31,-1.0,1.0,1.0,41030,435.0,3.4,115.0,120.0,COMPLETE,NONE,418.0,101.00531278847299,101.14995061892697,435.149847876575,0.2872456569624708,3.400001690043999,0.003091683462150114,114.9973560755132,0.15218589962035922,0.4309921895,120.0,112.5850087426663,13799.682729061584
32,-1.0,-1.0,1.0,41031,435.0,2.6,115.0,120.0,COMPLETE,NONE,417.25,92.12029387995258,92.39083693475497,435.1540885223904,0.2853806829385843,2.6000272473207455,0.0030210556464772918,114.99736165626983,0.1430396275694337,0.430983499875,120.0,112.58710197221461,13799.68339875238
33,0.0,0.0,-1.0,41032,450.0,3.0,85.0,120.0,COMPLETE,NONE,422.0,93.68137064678581,93.52128393461638,450.14913582881417,0.28463109896111954,2.999999032213402,0.003133758870348371,84.98720096859539,0.15472656651717082,0.4468414776041667,120.0,120.07532611901095,10198.464116231447
34,0.0,0.0,0.0,41033,450.0,3.0,100.0,120.0,COMPLETE,NONE,424.25,98.03432256063351,97.91854061521019,450.131417369635,0.2521134573445419,2.999967914751773,0.0030116636063275484,99.99120930602611,0.13961457804527083,0.4469160155625,120.0,120.0663731213429,11998.945116723133
35,1.0,1.0,-1.0,41034,465.0,3.4,85.0,120.0,COMPLETE,NONE,426.5,103.05615667151554,103.02374773646613,465.1577398649679,0.29094589960042394,3.4000545873381216,0.0029393596099380115,84.99047354687352,0.1533584683951429,0.4625780533125,120.0,127.73405868702238,10198.856825624822
36,0.0,0.0,0.0,41035,450.0,3.0,100.0,120.0,COMPLETE,NONE,420.75,98.96728332566175,99.4863103808213,450.15672705579055,0.2966783454268569,3.000024729369189,0.003237108729750221,100.00206195231645,0.1549804833662864,0.44681934675,120.0,120.07916180031465,12000.247434277975
37,-1.0,-1.0,-1.0,41036,435.0,2.6,85.0,120.0,COMPLETE,NONE,417.0,85.15169939302842,84.86738767503087,435.1575410394247,0.2964598384444792,2.600003670077006,0.0030856148739428547,84.99456969059813,0.15355355801735235,0.4309659839791667,120.0,112.58880900097384,10199.348362871775
38,0.0,1.0,0.0,41037,450.0,3.4,100.0,120.0,COMPLETE,NONE,421.25,102.43779256458117,102.3336704614147,450.16052375031296,0.29698522123538695,3.3999641559183913,0.002957649391615202,100.0021699220861,0.1432956608282314,0.44677128079166667,120.0,120.08107899865468,12000.260390650332
39,0.0,0.0,0.0,41038,450.0,3.0,100.0,120.0,COMPLETE,NONE,422.0,99.74274005404983,99.89398947030155,450.15461243633507,0.28470776595078473,3.0000251381937106,0.00308410303998953,100.00270181345824,0.14947016045715503,0.44678626358333334,120.0,120.0780915060502,12000.324217614989
40,0.0,0.0,0.0,41039,450.0,3.0,100.0,120.0,COMPLETE,NONE,422.25,99.0347155782678,98.83711929817396,450.15340518849916,0.28507270909264903,3.0000370524832594,0.0029258678524541,99.99877920799332,0.14869323960740105,0.44679384108333337,120.0,120.0774819889078,11999.8535049592
