time_s,temperature_c,pressure_torr,flow_sccm,truth_temperature_c,truth_thickness_nm,state,fault,heater,throttle,flow_command,precursor
123.25,259.8453714286719,3.00243256989356,100.09785168316247,259.9184763089406,0.0,HEAT,NONE,1.0,0.37993053,100.0,False
123.5,259.6917113161899,2.99724572745652,100.04235060017773,259.77832517068396,0.0,HEAT,NONE,1.0,0.3786796,100.0,False
123.75,259.6236090093523,3.0032780762683284,100.39829403559199,259.6386113211149,0.0,HEAT,NONE,1.0,0.38013565,100.0,False
124.0,259.6257720610031,2.9998143042151795,99.97419340436812,259.49933339583936,0.0,HEAT,NONE,1.0,0.3793207,100.0,False
124.25,259.2319859166505,2.997211844030915,99.84948767342482,259.3604900347201,0.0,HEAT,NONE,1.0,0.37867672,100.0,False
124.5,259.1627796061531,2.998879426476182,100.11155960598425,259.2220798818639,0.0,HEAT,NONE,1.0,0.3790541,100.0,False
124.75,259.0242517333579,2.999658782087928,99.81725889616662,259.084101585608,0.0,HEAT,NONE,1.0,0.3792319,100.0,False
125.0,259.1932401428865,3.00179792275822,100.26833097538358,258.94655379850695,0.0,HEAT,NONE,1.0,0.37975481,100.0,False
125.25,258.928968046125,3.0045946901772767,99.96272687118324,258.80943517731964,0.0,HEAT,NONE,1.0,0.38046727,100.0,False
125.5,258.78031850418944,3.0078597070684716,99.81646983075912,258.6727443829959,0.0,HEAT,NONE,1.0,0.38133163,100.0,False
125.75,258.7129204239232,3.0041841750620346,100.0631691366564,258.5364800806636,0.0,HEAT,NONE,1.0,0.38052491,100.0,False
126.0,258.51542280497307,3.0025814869582077,99.89945572510517,258.4006409396155,0.0,HEAT,NONE,1.0,0.38018723,100.0,False
126.25,258.3278373925182,2.9958623836233707,99.89631294380177,258.2652256332966,0.0,HEAT,NONE,1.0,0.37856661,100.0,False
126.5,258.0354984274489,2.9984268408115624,100.0224663457725,258.1302328392906,0.0,HEAT,NONE,1.0,0.37915442,100.0,False
126.75,258.0651162143602,2.9946370914747247,100.30401631327607,257.9956612393074,0.0,HEAT,NONE,1.0,0.3782016,100.0,False
127.0,258.03903886268364,3.001658181045438,99.94502044125898,257.8615095191702,0.0,HEAT,NONE,1.0,0.37986996,100.0,False
127.25,257.7140803687924,3.000965530369036,100.06321599795928,257.72777636880255,0.0,HEAT,NONE,1.0,0.37971875,100.0,False
127.5,257.33630111650405,3.0014727894327877,100.44823713826048,257.5944604822156,0.0,HEAT,NONE,1.0,0.37985601,100.0,False
127.75,257.17756706497244,3.002125362154694,100.05677529626138,257.46156055749526,0.0,HEAT,NONE,1.0,0.38003596,100.0,False
128.0,257.31191301383296,3.003105051899493,99.81796055303795,257.3290752967897,0.0,HEAT,NONE,1.0,0.38030578,100.0,False
